Greg’s Notes	CERT TR	CERT Impact	TTT Testing Results	MLSListings Parameters	Category	Name	Description	HelpLink	ErrorMessage	RequirementLevel	Aspect	SpecificationSection	V4SpecificationSection	V4Specification	PayloadType	LevelType	ResourceType	DependencyType	DependencyInfo	IsMediaLinkEntry	Projection	PayloadFormat	Version	OdataMetadataType	RequireMetadata	RequireServiceDocument	COUNT	Orig Order
	Not in Testing Rules	SHOULD	(Not in Results)		SERVICEIMPL	ServiceImpl_BatchRequests	"Batch Requests,Batch Requests"			Should			11.7	ODataV4SpecificationUriForProtocol									V_All				X	1
	Not in Testing Rules	SHOULD	(Not in Results)		SERVICEIMPL	ServiceImpl_AsynchronousRequest	"Asynchronous Requests,Asynchronous Requests"			Should			11.6	ODataV4SpecificationUriForProtocol									V_All				X	2
	IGNORE: UPDATE	OData MUST	(Not in Results)		SERVICEIMPL	ServiceImpl_ActionImport	"Operations,ActionImport"			Must			11.5.4.1	ODataV4SpecificationUriForProtocol									V_All				X	3
	Not in Testing Rules	OData MUST	error		SERVICEIMPL	ServiceImpl_CrossJoin	"Requesting Data,Cross Join"			Must				ODataV4SpecificationUriForProtocol									V_All				X	4
	Not in Testing Rules	OData MUST	(Not in Results)		SERVICEIMPL	ServiceImpl_Etag	"Response Headers,Etag"			Must				ODataV4SpecificationUriForProtocol									V_All				X	5
UPDATE TTT Tests	REQ-WA100-QO12	Platinum	error	not(ListingKeyNumeric eq 2) and (ListingKeyNumeric lt 5 and ListingKeyNumeric ge 1)	SERVICEIMPL	ServiceImpl_FilterGrouping	"Requesting Data,System Query Option,Logical Operators,$filter (Grouping)"			Must				ODataV4SpecificationUriForProtocol									V_All				X	6
UPDATE TTT Tests	REQ-WA100-QO8	Bronze	error	$filter=PropertyType has ResourceEnums.PropertyType'Residential'	SERVICEIMPL	ServiceImpl_FilterHas	"Requesting Data,System Query Option,Logical Operators,$filter (Has)"			Must				ODataV4SpecificationUriForProtocol									V_All				X	7
UPDATE TTT Tests	REQ-WA100-QO11	Core	error	$filter=not(ListingKeyNumeric eq 2)	SERVICEIMPL	ServiceImpl_FilterNot	"Requesting Data,System Query Option,Logical Operators,$filter (Not)"			Must				ODataV4SpecificationUriForProtocol									V_All				X	8
	Not in Testing Rules	OData MUST	success		SERVICEIMPL	ServiceImpl_GetEntity	"Requesting Data,Get Entity"			Must				ODataV4SpecificationUriForProtocol									V_All				X	9
	Not in Testing Rules	OData MUST	error		SERVICEIMPL	ServiceImpl_GetNavigationProperty	"Requesting Data,Get Navigation Property"			Must				ODataV4SpecificationUriForProtocol									V_All				X	10
	Not in Testing Rules	OData MUST	error		SERVICEIMPL	ServiceImpl_GetProperty	"Requesting Data,Get Property"			Must				ODataV4SpecificationUriForProtocol									V_All				X	11
	Not in Testing Rules	MAY	success		SERVICEIMPL	ServiceImpl_MetadataServiceDocumentRequest	"Metadata Requests,Metadata Service Document Request"			May			11.1.3	ODataV4SpecificationUriForProtocol									V_All				X	12
	REQ-WA100-END3	Core	success	Downloaded Metadata	SERVICEIMPL	ServiceImpl_MetadataDocumentRequest	"Metadata Requests,Metadata Document Request"			Must			11.1.2	ODataV4SpecificationUriForProtocol									V_All				X	13
	Not in Testing Rules	OData MUST	(Not in Results)		SERVICEIMPL	ServiceImpl_FunctionImport	"Operations,FunctionImport"			Must			11.5.3.1	ODataV4SpecificationUriForProtocol									V_All				X	14
	Not in Testing Rules	OData MUST	(Not in Results)		SERVICEIMPL	ServiceImpl_RequestingChanges_delta	"Requesting Changes,$delta"			Must			11.3	ODataV4SpecificationUriForProtocol									V_All				X	15
	Not in Testing Rules	OData MUST	error		SERVICEIMPL	ServiceImpl_All	"Requesting Data,All"			Must				ODataV4SpecificationUriForProtocol									V_All				X	16
		OData MUST	success		SERVICEIMPL	ServiceImpl_ServiceDocumentRequest	"Metadata Requests,Service Document Request"			Must			11.1.1	ODataV4SpecificationUriForProtocol									V_All				X	17
	REQ-WA100-QO25	Core	success		SERVICEIMPL	ServiceImpl_SystemQueryOptionFilter_Date	"Requesting Data,System Query Option,Arithmetic Operators,$filter(date)"			Must				ODataV4SpecificationUriForProtocol									V_All				X	18
Any one Geo should be fine.		OData MUST	error		SERVICEIMPL	ServiceImpl_SystemQueryOptionFilter_GeoDistance	"Requesting Data,System Query Option,Arithmetic Operators,$filter(geo.distance)"			Must				ODataV4SpecificationUriForProtocol									V_All				X	19
Any one Geo should be fine.	REQ-WA100-QM5	Platinum	error	"geo.intersects(Location,geography'POLYGON((-121.969652 37.525904, -121.939652 37.505904, -121.949652 37.515904, -121.959652 37.525904, -121.969652 37.525904))')"	SERVICEIMPL	ServiceImpl_SystemQueryOptionFilter_GeoIntersects	"Requesting Data,System Query Option,Arithmetic Operators,$filter(geo.intersects)"			Must				ODataV4SpecificationUriForProtocol									V_All				X	20
Any one Geo should be fine.		OData MUST	(Not in Results)		SERVICEIMPL	ServiceImpl_SystemQueryOptionFilter_GeoLength	"Requesting Data,System Query Option,Arithmetic Operators,$filter(geo.length)"			Must				ODataV4SpecificationUriForProtocol									V_All				X	21
UPDATE TTT Tests	REQ-WA100-QO26	Core	error	"WORKS: $filter=ModificationTimestamp gt 2010-05-10T15:24:22.456-07:00
WORKS: $filter=time(ModificationTimestamp) lt 16:06:38.123"	SERVICEIMPL	ServiceImpl_SystemQueryOptionFilter_Time	"Requesting Data,System Query Option,Arithmetic Operators,$filter(time)"			Must				ODataV4SpecificationUriForProtocol									V_All				X	22
	Not in Testing Rules	OData MUST	error		SERVICEIMPL	ServiceImpl_SystemQueryOptionFilter_TotalOffsetMinutes	"Requesting Data,System Query Option,Arithmetic Operators,$filter(totaloffsetminutes)"			Must				ODataV4SpecificationUriForProtocol									V_All				X	23
	IGNORE: UPDATE	SHOULD	(Not in Results)		SERVICEIMPL	ServiceImpl_UpdateRefForNavigationProperty	"Data Modification,Modifying Relationships between Entities,Change the Reference in a Single-Valued Navigation Property"			Should			11.4.6.3	ODataV4SpecificationUriForProtocol									V_All				X	24
	IGNORE: UPDATE	SHOULD	(Not in Results)		SERVICEIMPL	ServiceImpl_RemoveReferenceToEntity	"Data Modification,Modifying Relationships between Entities,Remove a Reference to an Entity"			Should			11.4.6.2	ODataV4SpecificationUriForProtocol									V_All				X	25
	IGNORE: UPDATE	OData MUST	(Not in Results)		SERVICEIMPL	ServiceImpl_DeleteMediaEntity	"Data Modification,Managing Media Entities,Delete a Media Entity"			Must			11.4.7.3	ODataV4SpecificationUriForProtocol									V_All				X	26
